Designator,Mid X,Mid Y,Rotation,Layer
J1,154.494035,-123.15,0.0,top
R1,167.0,-104.25,180.0,bottom
R10,154.575,-92.0,180.0,bottom
R11,160.25,-93.75,180.0,bottom
R12,165.75,-98.325,270.0,bottom
R13,154.925,-119.75,0.0,bottom
R2,165.75,-110.175,90.0,bottom
R3,160.325,-115.25,180.0,bottom
R4,154.325,-116.5,180.0,bottom
R5,148.575,-115.25,180.0,bottom
R6,143.0,-110.075,270.0,bottom
R7,143.0,-103.925,90.0,bottom
R8,143.0,-98.425,90.0,bottom
R9,148.575,-93.75,180.0,bottom
RS1,154.459,-104.276,90.0,top
